"Source:","C:\Users\Anton Gale\Documents\exerion\exerion.kicad_sch"
"Date:","9/8/2022 7:40:35 PM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","248"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","U3M1","74LS138","jt74:74LS138","","http://www.ti.com/lit/gpn/sn74LS138"
"","","U3P1","74LS138","jt74:74LS138","","http://www.ti.com/lit/gpn/sn74LS138"
"","","U3R_1","74LS139","jt74:74LS139","","http://www.ti.com/lit/gpn/sn74LS139"
"","","U3S1","74LS02","74xx:74LS02","","http://www.ti.com/lit/gpn/sn74ls02"
"","","U3S_1","74LS02","74xx:74LS02","","http://www.ti.com/lit/gpn/sn74ls02"
"","","U3T1","74LS138","jt74:74LS138","","http://www.ti.com/lit/gpn/sn74LS138"
"","","U3V1","ICX","arcade:ICX","",""
"","","U4","74LS14","74xx:74LS14","","http://www.ti.com/lit/gpn/sn74LS14"
"","","U4B1","2764","Memory_EPROM:2764","Package_DIP:DIP-28_W15.24mm","https://downloads.reactivemicro.com/Electronics/ROM/2764%20EPROM.pdf"
"","","U4D1","2764","Memory_EPROM:2764","Package_DIP:DIP-28_W15.24mm","https://downloads.reactivemicro.com/Electronics/ROM/2764%20EPROM.pdf"
"","","U4E1","2764","Memory_EPROM:2764","Package_DIP:DIP-28_W15.24mm","https://downloads.reactivemicro.com/Electronics/ROM/2764%20EPROM.pdf"
"","","U4H1","2764","Memory_EPROM:2764","Package_DIP:DIP-28_W15.24mm","https://downloads.reactivemicro.com/Electronics/ROM/2764%20EPROM.pdf"
"","","U4KJ1","6301","arcade:82S126-9","",""
"","","U4LK_1","74LS32","jt74:74LS32","","http://www.ti.com/lit/gpn/sn74LS32"
"","","U4ML1","74LS153","jt74:74LS153","","http://www.ti.com/lit/gpn/sn74LS153"
"","","U4N_1","HM6116P-3","arcade:HM6116P-3","",""
"","","U4P1","27128","Memory_EPROM:27128","Package_DIP:DIP-28_W15.24mm","http://eeshop.unl.edu/pdf/27128.pdf"
"","","U4S1","2764","Memory_EPROM:2764","Package_DIP:DIP-28_W15.24mm","https://downloads.reactivemicro.com/Electronics/ROM/2764%20EPROM.pdf"
"","","U4T1","2764","Memory_EPROM:2764","Package_DIP:DIP-28_W15.24mm","https://downloads.reactivemicro.com/Electronics/ROM/2764%20EPROM.pdf"
"","","U4V1","HM6116P-3","arcade:HM6116P-3","",""
"","","U5,6V1","Z80CPUB","CPU:Z80CPU","","www.zilog.com/manage_directlink.php?filepath=docs/z80/um0080"
"","","U5A1","74LS153","jt74:74LS153","","http://www.ti.com/lit/gpn/sn74LS153"
"","","U5B1","74LS374","jt74:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
"","","U5C1","74LS153","jt74:74LS153","","http://www.ti.com/lit/gpn/sn74LS153"
"","","U5D1","74LS374","jt74:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
"","","U5E1","74LS374","jt74:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
"","","U5F1","74LS153","jt74:74LS153","","http://www.ti.com/lit/gpn/sn74LS153"
"","","U5H1","74LS374","jt74:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
"","","U5J1","74LS153","jt74:74LS153","","http://www.ti.com/lit/gpn/sn74LS153"
"","","U5P1","74LS245","jt74:74LS245","","http://www.ti.com/lit/gpn/sn74LS245"
"","","U5ST_1","74LS04","jt74:74LS04","","http://www.ti.com/lit/gpn/sn74LS04"
"","","U5UT1","74LS89","jt74:74LS89","","http://www.ti.com/lit/gpn/sn74LS89"
"","","U6A1","74LS193","jt74:74LS193","","http://www.ti.com/lit/gpn/sn74LS193"
"","","U6B1","74LS191","jt74:74LS191","","http://www.ti.com/lit/gpn/sn74LS191"
"","","U6C1","74LS191","jt74:74LS191","","http://www.ti.com/lit/gpn/sn74LS191"
"","","U6D1","74LS193","jt74:74LS193","","http://www.ti.com/lit/gpn/sn74LS193"
"","","U6E1","74LS193","jt74:74LS193","","http://www.ti.com/lit/gpn/sn74LS193"
"","","U6F1","74LS191","jt74:74LS191","","http://www.ti.com/lit/gpn/sn74LS191"
"","","U6H1","74LS191","jt74:74LS191","","http://www.ti.com/lit/gpn/sn74LS191"
"","","U6J1","74LS193","jt74:74LS193","","http://www.ti.com/lit/gpn/sn74LS193"
"","","U6K1","2764","Memory_EPROM:2764","Package_DIP:DIP-28_W15.24mm","https://downloads.reactivemicro.com/Electronics/ROM/2764%20EPROM.pdf"
"","","U6LM1","74LS374","jt74:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
"","","U6N1","HM6116P-3","arcade:HM6116P-3","",""
"","","U6P1","74LS367","jt74:74LS367","","http://www.ti.com/lit/gpn/sn74LS367"
"","","U6ST_1","74LS04","jt74:74LS04","","http://www.ti.com/lit/gpn/sn74LS04"
"","","U6UT1","74LS89","jt74:74LS89","","http://www.ti.com/lit/gpn/sn74LS89"
"","","U7A1","74LS74","jt74:74LS74","","74xx/74hc_hct74.pdf"
"","","U7A_1","74LS74","jt74:74LS74","","74xx/74hc_hct74.pdf"
"","","U7B_1","74LS86","jt74:74LS86","","74xx/74ls86.pdf"
"","","U7D_1","74LS74","jt74:74LS74","","74xx/74hc_hct74.pdf"
"","","U7E_1","74LS74","jt74:74LS74","","74xx/74hc_hct74.pdf"
"","","U7F_1","74LS08","jt74:74LS08","","http://www.ti.com/lit/gpn/sn74LS08"
"","","U7H_1","74LS86","jt74:74LS86","","74xx/74ls86.pdf"
"","","U7J_1","74LS74","jt74:74LS74","","74xx/74hc_hct74.pdf"
"","","U7K1","74LS374","jt74:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
